Hours_Studied,Previous_Score,Attendance_Rate,Final_Exam_Score,Passed_Course
19,13,99,20.0,1
11,9,91,17.066584681462032,1
25,9,14,20.0,1
13,14,84,19.337189898345617,1
26,8,11,20.0,1
24,12,93,20.0,1
21,9,29,20.0,1
12,15,50,17.731223771492527,1
19,17,18,20.0,1
8,11,94,16.376321118772456,1
10,17,82,18.61091122855794,1
17,11,88,20.0,1
20,9,92,20.0,1
29,10,48,20.0,1
9,17,31,16.239488272682056,1
16,13,34,20.0,1
27,11,43,20.0,1
16,18,24,20.0,1
22,14,45,20.0,1
24,13,77,20.0,1
5,13,39,13.727997637429468,1
9,11,41,16.506509330383395,1
7,12,54,15.538628376822901,1
5,12,63,14.272196233947698,1
26,18,65,20.0,1
30,8,62,20.0,1
13,18,29,19.469223657107285,1
30,11,85,20.0,1
12,8,73,17.59295915514036,1
26,18,97,20.0,1
14,14,79,20.0,1
20,12,96,20.0,1
29,18,19,20.0,1
17,16,6,20.0,1
23,9,64,20.0,1
5,10,31,12.847776610882784,1
24,15,53,20.0,1
28,17,72,20.0,1
20,11,73,20.0,1
8,13,93,16.597288428917473,1
7,13,47,14.50307022304246,1
9,15,87,16.751402950042547,1
7,10,93,15.176782227519906,1
29,9,48,20.0,1
8,15,41,15.140293652328591,1
29,18,77,20.0,1
21,14,22,20.0,1
22,16,77,20.0,1
9,17,1,16.11270438109923,1
10,9,40,15.831437765349337,1
17,11,4,19.92700153291466,1
13,10,2,17.378108919480436,1
20,10,97,20.0,1
23,11,80,20.0,1
7,17,18,14.46996261474513,1
23,14,42,20.0,1
10,15,56,17.38296246671087,1
26,10,51,20.0,1
20,10,59,20.0,1
10,8,41,16.32588883490885,1
26,15,80,20.0,1
29,16,59,20.0,1
22,15,64,20.0,1
23,16,23,20.0,1
15,13,0,18.761549647217976,1
9,9,49,15.341038390489148,1
15,11,29,19.27390978377896,1
25,18,98,20.0,1
16,17,31,20.0,1
5,13,31,13.656647601443042,1
13,9,38,17.27112509266148,1
15,15,51,20.0,1
16,15,65,20.0,1
20,12,10,20.0,1
12,8,4,16.501574933474927,1
29,17,36,20.0,1
28,12,85,20.0,1
9,10,70,16.146573080049578,1
7,14,29,14.864617689560111,1
26,17,85,20.0,1
13,10,13,17.278342236569788,1
18,13,99,20.0,1
26,8,45,20.0,1
28,9,25,20.0,1
16,14,87,20.0,1
23,9,81,20.0,1
5,9,76,14.616455114886332,1
19,15,81,20.0,1
8,17,87,17.16425187892257,1
18,16,23,20.0,1
23,9,28,20.0,1
9,16,4,15.355355897691133,1
24,9,30,20.0,1
11,14,89,17.983743503732775,1
5,13,30,13.797389191414325,1
25,9,15,20.0,1
7,8,44,14.451406461535779,1
16,18,71,20.0,1
22,10,74,20.0,1
18,18,69,20.0,1
25,11,34,20.0,1
26,10,90,20.0,1
28,10,41,20.0,1
19,16,57,20.0,1
6,9,58,13.666616170392688,1
26,16,5,20.0,1
19,8,10,20.0,1
9,12,31,16.310921192927665,1
22,8,50,20.0,1
25,8,51,20.0,1
22,10,5,20.0,1
12,12,63,17.850930833413155,1
22,18,96,20.0,1
14,12,49,18.990288997201315,1
14,16,8,19.65976771295796,1
12,15,85,19.415070979211865,1
5,15,83,15.439620054901074,1
20,16,43,20.0,1
15,15,44,20.0,1
30,9,81,20.0,1
27,16,66,20.0,1
25,9,63,20.0,1
24,14,67,20.0,1
13,10,2,17.533739706993888,1
8,18,26,16.107589119190433,1
6,16,54,15.446842492212857,1
7,13,67,15.754959547550243,1
29,10,25,20.0,1
22,8,17,20.0,1
24,10,94,20.0,1
30,15,26,20.0,1
9,11,52,16.305320888956295,1
10,8,68,17.184225097626907,1
6,15,85,15.979082288564435,1
6,17,31,14.637647573401301,1
21,14,0,20.0,1
14,12,46,18.91918406301842,1
14,12,28,18.834134522784932,1
13,13,29,18.125894183867963,1
30,15,33,20.0,1
13,9,78,18.787250741774155,1
5,15,1,14.019667162675614,1
13,14,44,19.323087695727793,1
13,14,45,19.149579726586502,1
19,10,45,20.0,1
24,17,61,20.0,1
30,13,85,20.0,1
14,9,25,18.585462003920625,1
19,8,75,20.0,1
14,14,60,19.690530971529974,1
12,17,11,17.73994043776077,1
14,9,10,17.858775401923566,1
23,18,18,20.0,1
24,15,3,20.0,1
15,18,17,20.0,1
15,17,53,20.0,1
28,14,94,20.0,1
18,12,76,20.0,1
6,13,63,14.684611465053358,1
9,9,42,15.370287769526879,1
27,18,69,20.0,1
25,17,48,20.0,1
7,17,100,16.378505271613317,1
17,8,60,20.0,1
26,17,82,20.0,1
22,13,12,20.0,1
20,11,42,20.0,1
17,14,12,20.0,1
6,18,73,16.049054013635427,1
8,14,27,15.1015470020054,1
8,9,60,15.325297592620792,1
6,11,46,14.856837834147553,1
5,11,63,13.898263211413955,1
7,11,84,16.241059278733864,1
9,14,24,16.415138044345568,1
22,8,65,20.0,1
10,12,35,15.943626183135834,1
17,14,60,20.0,1
28,12,30,20.0,1
19,16,2,20.0,1
8,10,67,15.643636132567453,1
22,13,84,20.0,1
30,8,29,20.0,1
24,15,70,20.0,1
30,16,61,20.0,1
7,9,77,15.397376278556896,1
16,15,55,20.0,1
8,15,58,16.577347043161442,1
29,10,91,20.0,1
28,15,66,20.0,1
13,12,64,18.251797786527884,1
5,18,17,13.733379740583185,1
25,15,52,20.0,1
23,16,27,20.0,1
23,10,80,20.0,1
19,13,96,20.0,1
29,9,5,20.0,1
29,11,28,20.0,1
5,14,85,14.395402930994017,1
18,17,97,20.0,1
12,13,96,18.674466110108515,1
17,15,32,20.0,1
10,12,6,16.000892994706117,1
18,11,67,20.0,1
15,16,46,20.0,1
5,16,46,14.207200937680062,1
8,15,11,15.585904221917582,1
21,16,17,20.0,1
18,10,62,20.0,1
25,16,77,20.0,1
23,11,93,20.0,1
26,11,3,20.0,1
8,13,30,15.130662256710002,1
17,13,74,20.0,1
18,16,32,20.0,1
15,8,79,19.456419665208095,1
7,15,35,15.829950171394449,1
20,18,48,20.0,1
19,9,79,20.0,1
6,12,15,13.791751745676208,1
24,18,28,20.0,1
30,12,57,20.0,1
28,9,74,20.0,1
15,13,70,20.0,1
26,18,93,20.0,1
15,16,46,19.756524948484063,1
7,15,46,15.56892059553817,1
17,15,41,20.0,1
8,14,5,14.906370935717261,1
23,18,41,20.0,1
14,18,56,20.0,1
25,13,34,20.0,1
28,15,78,20.0,1
30,16,6,20.0,1
24,16,41,20.0,1
15,17,80,20.0,1
14,9,38,17.857055619593808,1
26,11,26,20.0,1
13,14,91,19.636442955092186,1
7,14,50,15.107975146730594,1
28,14,36,20.0,1
26,14,51,20.0,1
11,13,79,18.50917147078491,1
12,10,40,17.772852789942366,1
11,10,54,16.710291616578274,1
18,18,10,20.0,1
12,16,72,19.313683512708746,1
28,8,55,20.0,1
5,9,71,14.142781142604846,1
26,16,75,20.0,1
26,9,38,20.0,1
9,15,77,17.12542339029111,1
18,12,93,20.0,1
5,9,57,12.828130957388602,1
23,8,76,20.0,1
13,16,79,20.0,1
9,12,23,15.243757366166083,1
23,10,99,20.0,1
15,13,50,19.215934327402657,1
30,8,39,20.0,1
30,17,90,20.0,1
5,8,67,13.332637814869429,1
16,13,1,19.113699670732817,1
16,18,34,20.0,1
6,10,22,13.635127693654338,1
10,10,20,15.973451934470845,1
26,14,15,20.0,1
5,11,79,13.532540516255457,1
22,12,28,20.0,1
22,14,44,20.0,1
13,13,46,19.382268767946,1
8,15,89,16.64946343570599,1
20,8,69,20.0,1
16,16,2,19.67820434944964,1
9,12,19,15.722980048251506,1
15,18,86,20.0,1
27,17,93,20.0,1
21,10,63,20.0,1
28,17,40,20.0,1
13,8,96,18.38505577927254,1
13,16,54,18.688665536492937,1
7,17,30,15.577533589804535,1
8,18,16,15.501532971804638,1
19,16,52,20.0,1
25,12,10,20.0,1
26,15,31,20.0,1
12,15,91,19.83462034589271,1
30,10,47,20.0,1
30,18,63,20.0,1
12,16,21,17.789519657212537,1
12,17,63,18.308664046064294,1
6,15,11,14.031018010647976,1
28,15,43,20.0,1
12,16,39,18.92606230866217,1
8,14,63,16.255317657102957,1
24,12,29,20.0,1
28,18,23,20.0,1
24,8,0,20.0,1
12,15,51,18.42553072526406,1
29,13,84,20.0,1
27,10,33,20.0,1
23,10,14,20.0,1
13,9,12,17.289754055584716,1
22,10,29,20.0,1
26,11,76,20.0,1
12,17,40,19.054634216553385,1
22,18,94,20.0,1
13,17,70,19.38846776828611,1
7,8,19,13.988519852142991,1
18,13,10,20.0,1
14,15,39,20.0,1
26,16,46,20.0,1
10,13,35,17.006567955477124,1
13,9,86,18.597080240963436,1
10,13,90,18.093450395906117,1
27,18,97,20.0,1
7,14,19,14.826948063461458,1
20,18,87,20.0,1
12,12,59,18.831393345003747,1
11,13,73,17.896552469870787,1
30,9,96,20.0,1
15,12,55,19.90307896938675,1
7,14,35,15.547313666453595,1
13,15,50,19.37570305640212,1
22,11,96,20.0,1
24,15,66,20.0,1
9,16,13,16.14364434867347,1
26,14,69,20.0,1
29,15,51,20.0,1
12,11,25,17.484871577751292,1
21,9,7,20.0,1
20,9,1,20.0,1
12,12,88,18.52253148103463,1
13,13,37,18.94511641365545,1
26,13,79,20.0,1
13,15,99,19.827990414257478,1
13,8,61,17.9006712349855,1
23,14,38,20.0,1
17,15,22,20.0,1
11,14,58,18.015902008280847,1
21,12,53,20.0,1
11,18,81,19.213243225541103,1
27,8,94,20.0,1
17,13,30,20.0,1
26,13,58,20.0,1
26,8,31,20.0,1
30,16,13,20.0,1
6,16,64,15.064058553227884,1
14,15,23,19.045817175823764,1
13,10,8,17.644248825771584,1
15,14,82,20.0,1
23,15,6,20.0,1
7,11,90,15.34557354041174,1
30,13,6,20.0,1
25,16,42,20.0,1
10,13,32,15.946629943317358,1
11,14,22,16.822437513507086,1
9,12,15,15.268682892766124,1
13,17,55,19.134639188618817,1
27,15,76,20.0,1
18,18,3,20.0,1
27,12,82,20.0,1
19,15,3,20.0,1
16,14,54,20.0,1
28,9,22,20.0,1
8,16,94,17.650573403076184,1
16,12,56,20.0,1
22,9,23,20.0,1
21,12,49,20.0,1
9,18,85,17.302120061768235,1
8,11,67,16.228937155164008,1
10,18,94,18.598937769706954,1
8,8,3,13.74090888630177,1
16,11,41,20.0,1
14,15,31,19.56902393972527,1
18,10,86,20.0,1
13,10,95,18.783755027337257,1
23,9,63,20.0,1
29,12,3,20.0,1
16,8,67,20.0,1
20,13,3,20.0,1
30,15,25,20.0,1
20,12,20,20.0,1
13,14,18,18.662534570942324,1
15,16,55,20.0,1
15,14,75,20.0,1
20,14,50,20.0,1
22,13,56,20.0,1
29,15,42,20.0,1
17,13,32,20.0,1
9,9,16,15.764850493254208,1
28,9,72,20.0,1
24,17,61,20.0,1
20,15,0,20.0,1
8,18,100,18.15379639147021,1
12,17,32,18.540092150114813,1
12,9,15,17.31129696732107,1
21,11,68,20.0,1
26,9,64,20.0,1
9,9,53,15.916884345302588,1
26,14,35,20.0,1
28,18,79,20.0,1
28,11,25,20.0,1
18,8,42,20.0,1
17,17,33,20.0,1
26,8,10,20.0,1
6,10,55,14.430322825857376,1
20,13,39,20.0,1
9,10,17,14.548082078367331,1
13,10,43,18.900091546700157,1
14,14,79,20.0,1
20,14,75,20.0,1
29,10,57,20.0,1
12,17,52,18.877650622141083,1
15,16,80,20.0,1
5,10,100,14.886973310395925,1
15,17,14,20.0,1
18,12,88,20.0,1
10,12,95,17.54219819882442,1
12,12,12,16.748966965863847,1
16,16,7,20.0,1
5,10,53,13.601903221415249,1
5,16,88,14.6462578480592,1
14,10,23,17.925539528079874,1
10,14,22,16.31324935010655,1
9,9,49,14.985460928357366,1
17,12,74,20.0,1
8,13,41,15.418880340663764,1
29,16,78,20.0,1
29,10,22,20.0,1
7,17,16,15.155932937857234,1
27,10,73,20.0,1
7,16,2,14.463991689274254,1
12,12,60,18.20078590918647,1
9,17,94,18.345060351150213,1
5,13,49,13.639058644460857,1
15,18,45,20.0,1
6,8,94,15.397551419802083,1
15,16,39,19.51911591909903,1
17,14,98,20.0,1
29,8,82,20.0,1
12,9,66,17.957723165095448,1
28,17,75,20.0,1
25,18,62,20.0,1
10,18,20,17.148815380249015,1
30,12,0,20.0,1
28,10,49,20.0,1
22,8,25,20.0,1
18,11,84,20.0,1
21,13,89,20.0,1
17,10,32,20.0,1
29,12,60,20.0,1
8,14,10,15.10844903048651,1
19,12,52,20.0,1
5,15,23,14.394264637249808,1
15,11,90,20.0,1
13,15,14,18.714679140636274,1
22,16,52,20.0,1
8,9,4,14.764850550437556,1
10,14,49,16.86558747264004,1
21,11,2,20.0,1
24,15,44,20.0,1
13,16,48,19.38582050120165,1
29,10,92,20.0,1
10,12,77,18.020641090949216,1
15,13,33,20.0,1
29,9,29,20.0,1
15,15,54,20.0,1
10,10,24,16.712003963863037,1
16,18,23,20.0,1
16,9,45,20.0,1
18,15,83,20.0,1
26,9,34,20.0,1
24,9,34,20.0,1
7,14,18,13.9445567628578,1
28,11,2,20.0,1
18,18,54,20.0,1
13,18,58,19.986305753624162,1
28,14,15,20.0,1
10,14,72,16.930196634573562,1
14,16,86,19.956208647608815,1
30,16,83,20.0,1
5,16,19,14.141425244628843,1
11,11,63,17.710822962245825,1
9,10,12,14.697802723325493,1
10,11,48,16.79114411561987,1
30,8,4,20.0,1
14,13,59,19.569052006265512,1
18,11,40,20.0,1
21,9,89,20.0,1
21,10,78,20.0,1
26,14,62,20.0,1
24,10,45,20.0,1
11,9,11,16.059617401832824,1
16,16,67,20.0,1
14,11,19,19.177900921163797,1
28,18,21,20.0,1
13,17,63,19.88711789002347,1
25,11,34,20.0,1
11,11,86,18.512895511252907,1
9,18,58,17.048964946375122,1
13,9,82,18.364308300216415,1
8,12,9,14.958798343698538,1
10,13,49,17.590540444519846,1
23,15,9,20.0,1
22,13,50,20.0,1
6,10,23,13.393490956014853,1
16,8,67,19.44290977345659,1
30,12,61,20.0,1
12,16,73,18.837704079366482,1
26,9,54,20.0,1
30,14,33,20.0,1
18,14,67,20.0,1
18,16,15,20.0,1
11,11,66,17.123684143940803,1
25,11,76,20.0,1
28,8,43,20.0,1
20,17,10,20.0,1
30,9,2,20.0,1
22,18,25,20.0,1
14,13,34,19.091358001002327,1
5,10,65,14.540565047594692,1
6,18,4,14.176119776475996,1
18,17,11,20.0,1
17,18,19,20.0,1
9,10,21,15.686387891445548,1
5,12,6,13.206685872290585,1
17,9,100,20.0,1
30,12,90,20.0,1
26,16,62,20.0,1
18,10,91,20.0,1
24,17,65,20.0,1
6,17,89,16.64156984693371,1
20,10,67,20.0,1
6,18,53,14.71764866855919,1
9,16,35,16.537772101651697,1
22,15,42,20.0,1
22,17,97,20.0,1
16,10,29,20.0,1
19,15,11,20.0,1
25,15,71,20.0,1
24,13,4,20.0,1
9,16,16,15.383559960337353,1
17,18,93,20.0,1
29,13,73,20.0,1
27,14,29,20.0,1
17,11,88,20.0,1
15,10,20,19.35107249563347,1
21,12,46,20.0,1
24,10,94,20.0,1
16,13,24,20.0,1
15,13,5,18.36827560478376,1
10,13,54,17.575359173190144,1
20,11,75,20.0,1
8,17,72,17.002506432840953,1
14,11,47,19.68293206444398,1
22,9,98,20.0,1
29,18,64,20.0,1
6,10,21,14.014178681458583,1
6,14,88,14.820446157595178,1
17,15,69,20.0,1
6,18,10,14.913667526461973,1
20,15,17,20.0,1
22,18,18,20.0,1
8,12,19,14.506625838224249,1
18,15,16,20.0,1
27,13,78,20.0,1
24,10,28,20.0,1
23,11,86,20.0,1
29,8,89,20.0,1
12,8,66,17.455238151949864,1
9,11,14,14.822778475958934,1
7,12,3,13.560106116512292,1
15,11,29,19.94058306946626,1
12,12,30,16.97038413080932,1
7,10,30,14.553991081840511,1
12,10,94,17.963023325980675,1
19,8,12,20.0,1
21,10,76,20.0,1
28,8,7,20.0,1
11,8,29,16.866717535980182,1
19,17,90,20.0,1
16,11,78,20.0,1
27,10,44,20.0,1
18,13,41,20.0,1
9,14,98,18.080927919267772,1
22,10,3,20.0,1
23,17,78,20.0,1
8,14,84,15.862478179527084,1
12,15,78,19.02934866864241,1
20,14,11,20.0,1
17,9,1,19.363038980852775,1
10,9,92,17.576626312505113,1
25,14,86,20.0,1
27,9,28,20.0,1
8,12,69,16.219297427398462,1
7,13,35,14.914746960120176,1
7,16,93,16.958735240125343,1
20,14,29,20.0,1
13,17,73,19.63785455590313,1
11,12,33,17.579155158560116,1
13,15,47,19.72863715370035,1
13,15,53,18.703249776947985,1
6,15,50,15.094220090544448,1
17,13,70,20.0,1
19,12,61,20.0,1
24,18,86,20.0,1
17,14,71,20.0,1
18,10,69,20.0,1
13,14,88,19.406118946919754,1
29,11,16,20.0,1
6,18,86,16.418476150408758,1
6,12,7,14.214595103447815,1
23,13,97,20.0,1
18,15,53,20.0,1
30,8,98,20.0,1
27,18,41,20.0,1
22,11,27,20.0,1
11,16,44,17.374751815298414,1
16,18,63,20.0,1
5,12,78,14.636792875494793,1
17,11,4,20.0,1
24,13,9,20.0,1
13,11,17,17.818763138973104,1
12,18,88,20.0,1
28,16,63,20.0,1
18,12,70,20.0,1
16,8,27,19.702729811424156,1
6,14,26,13.609383744148392,1
27,10,36,20.0,1
17,16,98,20.0,1
6,13,86,14.640524324880651,1
15,18,84,20.0,1
16,13,4,20.0,1
29,16,32,20.0,1
23,8,7,20.0,1
23,12,36,20.0,1
5,17,49,14.195844589655056,1
6,16,65,15.566145081891454,1
14,15,50,19.83031805125827,1
20,18,29,20.0,1
14,9,89,19.230816375512617,1
10,13,49,17.05972399402971,1
14,12,56,19.259618721225944,1
21,14,13,20.0,1
27,12,25,20.0,1
16,13,45,20.0,1
20,12,6,20.0,1
9,11,27,15.398905251994536,1
30,14,96,20.0,1
28,15,92,20.0,1
5,10,46,13.300007491710934,1
10,14,70,17.04287830181309,1
14,18,56,19.83938833350706,1
14,18,70,20.0,1
9,9,60,16.600611064323004,1
11,8,44,16.679321999176086,1
12,9,73,18.224112695077608,1
5,18,57,14.771327781819142,1
21,15,0,20.0,1
24,9,5,20.0,1
15,13,67,20.0,1
28,14,72,20.0,1
8,9,48,15.657530078428284,1
24,8,6,20.0,1
27,13,54,20.0,1
13,8,76,18.97619421339283,1
6,8,76,14.597023961280065,1
10,8,55,16.832706132529804,1
20,11,47,20.0,1
20,11,79,20.0,1
17,16,82,20.0,1
20,17,96,20.0,1
5,11,57,14.213188161803949,1
10,17,45,17.98037363718109,1
27,16,47,20.0,1
21,9,59,20.0,1
28,14,64,20.0,1
20,15,32,20.0,1
12,11,35,17.8790663068716,1
24,8,6,20.0,1
5,8,65,12.781990464470915,1
12,11,86,18.68555560064652,1
15,15,66,20.0,1
20,9,81,20.0,1
6,8,80,14.286896994382976,1
24,11,58,20.0,1
9,13,67,16.924080042377117,1
26,17,42,20.0,1
9,8,43,15.789450983487264,1
12,15,79,19.041148955428493,1
22,15,76,20.0,1
10,15,31,17.00816762209028,1
7,16,96,16.18379972533618,1
26,16,94,20.0,1
24,14,76,20.0,1
29,15,48,20.0,1
27,15,54,20.0,1
11,13,49,17.621164596837602,1
11,15,50,17.849569848546274,1
23,17,86,20.0,1
10,18,8,17.096784098385573,1
13,12,43,18.612898073226553,1
16,14,81,20.0,1
26,17,6,20.0,1
8,11,2,14.32070875383609,1
28,18,17,20.0,1
15,10,36,19.655131045465094,1
11,8,99,18.341942624988494,1
26,15,78,20.0,1
16,15,96,20.0,1
14,14,16,19.236317526485266,1
28,15,26,20.0,1
12,9,99,18.696990565311896,1
6,13,64,14.279881499965601,1
19,16,43,20.0,1
12,8,61,17.1906750734306,1
20,13,22,20.0,1
16,17,13,20.0,1
11,12,12,15.993731029591006,1
8,13,13,14.26942352721995,1
11,8,82,16.690644578903097,1
9,11,68,16.560675786949634,1
12,13,100,18.687836839300363,1
21,15,31,20.0,1
28,14,61,20.0,1
22,18,29,20.0,1
16,15,21,20.0,1
27,18,91,20.0,1
7,10,73,15.092252355741689,1
7,9,78,15.782342696272636,1
6,18,92,16.012599334334627,1
16,11,32,19.579545699965212,1
10,11,78,17.66146179010264,1
21,8,34,20.0,1
27,13,80,20.0,1
